,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG [KJ/mol]
255,5.5,316.75,306.15,10.600000000000001,0.4132991672688391,0.1325,-2326.8815525203486,-2249.0127460271656,-77.868806493183
256,6.0,318.75,307.15,11.600000000000001,0.4132991672688391,0.14500000000000002,-2341.573780160572,-2256.358859847277,-85.2149203132949
257,6.5,320.34999999999997,307.4,12.950000000000003,0.4132991672688391,0.16187500000000005,-2353.32756227275,-2258.195388302305,-95.13217397044491
258,7.0,322.34999999999997,308.65,13.700000000000003,0.4132991672688391,0.17125000000000004,-2368.0197899129735,-2267.3780305774444,-100.64175933552906
259,7.5,323.95,309.4,14.549999999999997,0.4132991672688391,0.18187499999999995,-2379.773572025152,-2272.8876159425286,-106.88595608262358
260,8.0,325.15,310.4,14.75,0.4132991672688391,0.184375,-2388.5889086092857,-2280.23372976264,-108.35517884664569
261,8.5,326.95,310.65,16.299999999999997,0.4132991672688391,0.20374999999999996,-2401.811913485487,-2282.0702582176677,-119.74165526781917
262,9.0,328.34999999999997,311.9,16.450000000000003,0.44662974527439064,0.20562500000000003,-2200.370101532195,-2090.133804379143,-110.23629715305196
263,9.5,329.75,312.4,17.35,0.44662974527439064,0.216875,-2209.751914055859,-2093.484451709023,-116.26746234683606
264,10.0,331.34999999999997,313.15,18.200000000000003,0.44662974527439064,0.22750000000000004,-2220.473985511475,-2098.510422703843,-121.96356280763212
265,10.5,332.95,313.9,19.049999999999997,0.44662974527439064,0.23812499999999998,-2231.196056967091,-2103.536393698663,-127.65966326842818
266,11.0,333.95,314.15,19.799999999999997,0.4799603232799422,0.24749999999999997,-2038.0657872657255,-1917.2282289849609,-120.8375582807646
267,11.5,335.15,315.4,19.75,0.4799603232799422,0.246875,-2045.3892756463779,-1924.8568627148072,-120.53241293157066
268,12.0,336.54999999999995,315.65,20.9,0.4799603232799422,0.26125,-2053.9333454238053,-1926.3825894607764,-127.5507559630289
269,12.5,337.54999999999995,316.15,21.400000000000006,0.4799603232799422,0.26750000000000007,-2060.0362524076822,-1929.4340429527147,-130.60220945496758
270,13.0,338.75,317.15,21.599999999999994,0.4799603232799422,0.2699999999999999,-2067.3597407883353,-1935.5369499365916,-131.82279085174378
271,13.5,339.54999999999995,317.9,21.650000000000006,0.5132909012854937,0.27062500000000006,-1882.7065589598483,-1762.663569705009,-120.04298925483931
272,14.0,340.75,318.4,22.349999999999994,0.5132909012854937,0.27937499999999993,-1889.3602119439506,-1765.4359251150518,-123.92428682889886
273,14.5,341.34999999999997,318.9,22.450000000000003,0.5132909012854937,0.280625,-1892.6870384360013,-1768.2082805250939,-124.47875791090746
274,15.0,341.95,319.15,22.799999999999997,0.5132909012854937,0.285,-1896.0138649280525,-1769.5944582301152,-126.41940669793735
275,15.5,342.95,319.9,23.049999999999997,0.5466214792910453,0.28812499999999996,-1722.1732472743888,-1606.4243236713137,-115.74892360307513
276,16.0,343.34999999999997,320.65,22.700000000000003,0.5466214792910453,0.28375000000000006,-1724.1819053846375,-1610.1905576280296,-113.99134775660787
277,16.5,344.15,320.9,23.25,0.5466214792910453,0.290625,-1728.1992216051344,-1611.445968946935,-116.75325265819947
278,17.0,345.15,321.9,23.25,0.5466214792910453,0.290625,-1733.2208668807561,-1616.4676142225564,-116.7532526581997
279,17.5,345.95,321.9,24.049999999999997,0.5799520572965968,0.300625,-1566.9974761633243,-1458.0618227402056,-108.93565342311877
280,18.0,346.34999999999997,322.9,23.450000000000003,0.5799520572965968,0.293125,-1568.8092957628774,-1462.5913717390881,-106.21792402378924
281,18.5,347.15,323.15,24.0,0.5799520572965968,0.3,-1572.4329349619832,-1463.7237589888084,-108.70917597317475
282,19.0,348.15,323.4,24.75,0.5799520572965968,0.309375,-1576.9624839608655,-1464.856146238529,-112.10633772233655
283,19.5,348.75,323.9,24.849999999999994,0.6132826353021483,0.31062499999999993,-1417.6544051420303,-1316.6401772774295,-101.0142278646008
284,20.0,348.95,324.15,24.799999999999997,0.6132826353021483,0.30999999999999994,-1418.4673969155883,-1317.6564169943772,-100.81097992121113
285,20.5,349.75,324.9,24.849999999999994,0.6132826353021483,0.31062499999999993,-1421.719364009821,-1320.7051361452202,-101.0142278646008
286,21.0,349.34999999999997,326.4,22.950000000000003,0.6132826353021483,0.28687500000000005,-1420.0933804627045,-1326.8025744469064,-93.29080601579813
287,21.5,350.95,326.65,24.299999999999997,0.6132826353021483,0.30374999999999996,-1426.5973146511699,-1327.818814163854,-98.7785004873158
288,22.0,351.34999999999997,326.65,24.700000000000003,0.6132826353021483,0.30875,-1428.223298198286,-1327.818814163854,-100.40448403443202
289,22.5,351.54999999999995,326.65,24.900000000000006,0.6132826353021483,0.3112500000000001,-1429.036289971844,-1327.818814163854,-101.21747580799001
290,23.0,352.34999999999997,326.9,25.450000000000003,0.6132826353021483,0.31812500000000005,-1432.288257066077,-1328.835053880802,-103.45320318527502
291,23.5,352.75,327.4,25.349999999999994,0.6466132133076999,0.3168749999999999,-1278.7053532955504,-1186.8125660353314,-91.89278726021894
292,24.0,353.15,327.9,25.25,0.6466132133076999,0.315625,-1280.15533810439,-1188.625047046381,-91.53029105800897
293,24.5,353.95,327.9,26.049999999999997,0.6466132133076999,0.32562499999999994,-1283.0553077220695,-1188.625047046381,-94.43026067568849
294,25.0,353.95,328.4,25.549999999999997,0.6466132133076999,0.31937499999999996,-1283.0553077220695,-1190.4375280574309,-92.61777966463865
295,25.5,354.75,328.9,25.849999999999994,0.6799437913132514,0.32312499999999994,-1137.7134490625929,-1054.810298510745,-82.90315055184783
296,26.0,354.75,329.15,25.599999999999994,0.6799437913132514,0.31999999999999995,-1137.7134490625929,-1055.6120697926776,-82.10137926991524
297,26.5,355.15,329.15,26.0,0.6799437913132514,0.325,-1138.9962831136852,-1055.6120697926776,-83.38421332100756
298,27.0,355.34999999999997,329.65,25.700000000000003,0.6799437913132514,0.32125000000000004,-1139.6377001392316,-1057.2156123565433,-82.42208778268832
299,27.5,355.75,330.15,25.599999999999994,0.6799437913132514,0.31999999999999995,-1140.920534190324,-1058.819154920409,-82.10137926991501
300,28.0,355.95,330.65,25.299999999999997,0.6799437913132514,0.31625,-1141.5619512158703,-1060.4226974842743,-81.139253731596
301,28.5,356.15,330.65,25.5,0.713274369318803,0.31875,-1000.5002012121804,-928.8653419368453,-71.63485927533509
302,29.0,356.54999999999995,330.9,25.650000000000006,0.713274369318803,0.32062500000000005,-1001.6238852792445,-929.5676444787604,-72.05624080048415
303,29.5,356.95,331.65,25.299999999999997,0.713274369318803,0.31625,-1002.7475693463086,-931.6745521045056,-71.07301724180309
304,30.0,357.54999999999995,331.65,25.900000000000006,0.713274369318803,0.3237500000000001,-1004.4330954469048,-931.6745521045056,-72.75854334239921
305,30.5,358.15,331.65,26.5,0.713274369318803,0.33125,-1006.1186215475009,-931.6745521045056,-74.44406944299533
306,31.0,358.15,331.65,26.5,0.7466049473243546,0.33125,-870.128820773822,-805.7468195159516,-64.38200125787034
307,31.5,357.54999999999995,332.15,25.400000000000006,0.7799355253299061,0.31750000000000006,-738.8395334899632,-686.3531004018774,-52.48643308808573
308,32.0,356.54999999999995,336.9,19.650000000000006,0.8132661033354576,0.24562500000000007,-612.7233777735581,-578.9552824902868,-33.76809528327135
309,32.5,356.34999999999997,338.9,17.450000000000003,0.8132661033354576,0.21812500000000004,-612.3796821472653,-582.3922387532151,-29.98744339405016
310,33.0,356.75,339.65,17.099999999999994,0.8132661033354576,0.21374999999999994,-613.067073399851,-583.6810973518133,-29.38597604803772
311,33.5,356.34999999999997,339.4,16.950000000000003,0.8132661033354576,0.21187500000000004,-612.3796821472653,-583.2514778189473,-29.12820432831802
312,34.0,357.15,340.15,17.0,0.8132661033354576,0.2125,-613.7544646524367,-584.5403364175454,-29.21412823489129
313,34.5,356.34999999999997,341.4,14.950000000000003,0.8132661033354576,0.18687500000000004,-612.3796821472653,-586.6884340818756,-25.691248065389686
