,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W],GFE [KJ/mol],GFE_Tc [KJ/mol],dG[KJ/mol],Fluid,FR
268,12.5,337.54999999999995,316.15,21.40000000000001,0.4799603232799422,0.2675,-2060.0362524076822,-1929.434042952715,-130.60220945496758,Al2O3 DI Water 60,60
269,13.0,338.75,317.15,21.599999999999994,0.4799603232799422,0.2699999999999999,-2067.359740788336,-1935.536949936592,-131.82279085174378,Al2O3 DI Water 60,60
270,13.5,339.54999999999995,317.9,21.65000000000001,0.5132909012854937,0.270625,-1882.7065589598485,-1762.663569705009,-120.04298925483933,Al2O3 DI Water 60,60
271,14.0,340.75,318.4,22.349999999999994,0.5132909012854937,0.2793749999999999,-1889.3602119439504,-1765.4359251150518,-123.92428682889886,Al2O3 DI Water 60,60
272,14.5,341.35,318.9,22.450000000000003,0.5132909012854937,0.280625,-1892.687038436001,-1768.208280525094,-124.47875791090746,Al2O3 DI Water 60,60
273,15.0,341.95,319.15,22.8,0.5132909012854937,0.285,-1896.0138649280525,-1769.5944582301152,-126.41940669793736,Al2O3 DI Water 60,60
274,15.5,342.95,319.9,23.05,0.5466214792910453,0.2881249999999999,-1722.1732472743888,-1606.4243236713137,-115.74892360307511,Al2O3 DI Water 60,60
275,16.0,343.35,320.65,22.700000000000003,0.5466214792910453,0.28375,-1724.1819053846375,-1610.1905576280296,-113.99134775660788,Al2O3 DI Water 60,60
276,16.5,344.15,320.9,23.25,0.5466214792910453,0.290625,-1728.1992216051344,-1611.445968946935,-116.75325265819949,Al2O3 DI Water 60,60
277,17.0,345.15,321.9,23.25,0.5466214792910453,0.290625,-1733.220866880756,-1616.4676142225564,-116.7532526581997,Al2O3 DI Water 60,60
278,17.5,345.95,321.9,24.05,0.5799520572965968,0.300625,-1566.9974761633243,-1458.0618227402056,-108.93565342311877,Al2O3 DI Water 60,60
279,18.0,346.35,322.9,23.450000000000003,0.5799520572965968,0.293125,-1568.8092957628774,-1462.591371739088,-106.21792402378924,Al2O3 DI Water 60,60
280,18.5,347.15,323.15,24.0,0.5799520572965968,0.3,-1572.4329349619832,-1463.7237589888084,-108.70917597317477,Al2O3 DI Water 60,60
281,19.0,348.15,323.4,24.75,0.5799520572965968,0.309375,-1576.9624839608657,-1464.856146238529,-112.10633772233656,Al2O3 DI Water 60,60
282,19.5,348.75,323.9,24.849999999999994,0.6132826353021483,0.3106249999999999,-1417.6544051420303,-1316.6401772774295,-101.0142278646008,Al2O3 DI Water 60,60
283,20.0,348.95,324.15,24.8,0.6132826353021483,0.3099999999999999,-1418.4673969155883,-1317.6564169943772,-100.81097992121111,Al2O3 DI Water 60,60
284,20.5,349.75,324.9,24.849999999999994,0.6132826353021483,0.3106249999999999,-1421.719364009821,-1320.7051361452202,-101.0142278646008,Al2O3 DI Water 60,60
285,21.0,349.35,326.4,22.950000000000003,0.6132826353021483,0.286875,-1420.0933804627043,-1326.8025744469064,-93.29080601579813,Al2O3 DI Water 60,60
286,21.5,350.95,326.65,24.3,0.6132826353021483,0.3037499999999999,-1426.59731465117,-1327.818814163854,-98.7785004873158,Al2O3 DI Water 60,60
287,22.0,351.35,326.65,24.700000000000003,0.6132826353021483,0.30875,-1428.223298198286,-1327.818814163854,-100.40448403443202,Al2O3 DI Water 60,60
288,22.5,351.54999999999995,326.65,24.90000000000001,0.6132826353021483,0.3112500000000001,-1429.036289971844,-1327.818814163854,-101.21747580799,Al2O3 DI Water 60,60
289,23.0,352.35,326.9,25.450000000000003,0.6132826353021483,0.318125,-1432.288257066077,-1328.835053880802,-103.45320318527502,Al2O3 DI Water 60,60
290,23.5,352.75,327.4,25.349999999999994,0.6466132133076999,0.3168749999999999,-1278.7053532955504,-1186.8125660353314,-91.89278726021894,Al2O3 DI Water 60,60
291,24.0,353.15,327.9,25.25,0.6466132133076999,0.315625,-1280.15533810439,-1188.625047046381,-91.53029105800896,Al2O3 DI Water 60,60
292,24.5,353.95,327.9,26.05,0.6466132133076999,0.3256249999999999,-1283.0553077220695,-1188.625047046381,-94.43026067568849,Al2O3 DI Water 60,60
293,25.0,353.95,328.4,25.55,0.6466132133076999,0.3193749999999999,-1283.0553077220695,-1190.4375280574309,-92.61777966463865,Al2O3 DI Water 60,60
294,25.5,354.75,328.9,25.849999999999994,0.6799437913132514,0.3231249999999999,-1137.7134490625929,-1054.810298510745,-82.90315055184783,Al2O3 DI Water 60,60
295,26.0,354.75,329.15,25.599999999999994,0.6799437913132514,0.3199999999999999,-1137.7134490625929,-1055.6120697926776,-82.10137926991524,Al2O3 DI Water 60,60
