,t(min),Te[C],Tc[C],P[mmHg],Q[W],alpha,beta,phase
441,00:36:45,77.8,53.25,560,60,90,0,1
442,00:36:50,77.8,53.0,560,60,90,0,1
443,00:36:55,77.8,53.25,560,60,90,0,1
444,00:37:00,77.6,53.25,560,60,90,0,1
445,00:37:05,77.6,53.25,560,60,90,0,1
446,00:37:10,77.6,53.0,560,60,90,0,1
447,00:37:15,77.8,52.75,560,60,90,0,1
448,00:37:20,77.8,53.0,560,60,90,0,1
449,00:37:25,77.2,53.25,560,60,90,0,1
450,00:37:30,77.6,53.25,585,60,90,0,1
451,00:37:35,77.8,53.25,585,60,90,0,1
452,00:37:40,77.8,53.25,585,60,90,0,1
453,00:37:45,77.8,53.25,585,60,90,0,1
454,00:37:50,78.0,53.5,585,60,90,0,1
455,00:37:55,78.0,53.25,585,60,90,0,1
456,00:38:00,78.0,53.75,585,60,90,0,1
457,00:38:05,77.8,53.75,585,60,90,0,1
458,00:38:10,77.6,54.0,585,60,90,0,1
459,00:38:15,77.4,54.0,585,60,90,0,1
460,00:38:20,77.4,54.0,585,60,90,0,1
461,00:38:25,77.6,54.25,585,60,90,0,1
462,00:38:30,77.8,54.5,585,60,90,0,1
463,00:38:35,77.4,54.5,585,60,90,0,1
464,00:38:40,77.6,54.5,585,60,90,0,1
465,00:38:45,77.8,54.5,585,60,90,0,1
466,00:38:50,77.8,54.5,585,60,90,0,1
467,00:38:55,78.0,54.25,585,60,90,0,1
468,00:39:00,77.8,54.25,585,60,90,0,1
469,00:39:05,78.0,54.25,585,60,90,0,1
470,00:39:10,77.8,54.0,585,60,90,0,1
471,00:39:15,77.6,54.0,585,60,90,0,1
472,00:39:20,77.6,54.25,585,60,90,0,1
473,00:39:25,77.6,54.25,585,60,90,0,1
474,00:39:30,78.0,54.5,585,60,90,0,1
475,00:39:35,78.0,54.5,585,60,90,0,1
476,00:39:40,77.6,54.75,585,60,90,0,1
477,00:39:45,77.6,54.75,585,60,90,0,1
478,00:39:50,77.8,54.75,585,60,90,0,1
479,00:39:55,78.0,54.75,585,60,90,0,1
480,00:40:00,77.8,54.75,585,60,90,0,1
481,00:40:05,77.8,54.5,585,60,90,0,1
482,00:40:10,77.8,54.75,585,60,90,0,1
483,00:40:15,78.2,54.75,585,60,90,0,1
484,00:40:20,78.2,54.5,585,60,90,0,1
485,00:40:25,78.2,54.5,585,60,90,0,1
486,00:40:30,78.0,54.75,585,60,90,0,1
487,00:40:35,78.0,54.75,585,60,90,0,1
488,00:40:40,78.0,55.0,585,60,90,0,1
489,00:40:45,77.6,55.75,585,60,90,0,1
490,00:40:50,77.0,56.5,585,60,90,0,1
491,00:40:55,75.8,57.0,585,60,90,0,1
492,00:41:00,75.6,57.5,585,60,90,0,1
493,00:41:05,75.0,57.25,585,60,90,0,1
494,00:41:10,75.4,57.25,585,60,90,0,1
495,00:41:15,75.6,56.75,585,60,90,0,1
496,00:41:20,75.6,56.75,585,60,90,0,1
497,00:41:25,75.6,56.75,585,60,90,0,1
498,00:41:30,76.2,56.75,585,60,90,0,1
499,00:41:35,76.6,56.75,585,60,90,0,1
500,00:41:40,76.6,56.75,585,60,90,0,1
501,00:41:45,77.2,56.5,585,60,90,0,1
502,00:41:50,77.6,56.5,585,60,90,0,1
503,00:41:55,77.6,56.5,585,60,90,0,1
504,00:42:00,77.6,56.25,585,60,90,0,1
505,00:42:05,77.8,56.25,585,60,90,0,1
506,00:42:10,77.8,56.25,585,60,90,0,1
507,00:42:15,78.0,56.25,585,60,90,0,1
508,00:42:20,78.2,56.25,585,60,90,0,1
509,00:42:25,78.6,56.25,585,60,90,0,1
510,00:42:30,78.8,56.0,585,60,90,0,1
511,00:42:35,78.6,56.0,585,60,90,0,1
512,00:42:40,78.6,56.0,585,60,90,0,1
513,00:42:45,78.6,56.0,585,60,90,0,1
514,00:42:50,78.6,55.75,585,60,90,0,1
515,00:42:55,79.0,56.0,585,60,90,0,1
516,00:43:00,79.2,55.5,585,60,90,0,1
517,00:43:05,79.4,56.0,585,60,90,0,1
518,00:43:10,79.6,55.25,585,60,90,0,1
519,00:43:15,79.8,55.25,585,60,90,0,1
520,00:43:20,79.4,55.25,585,60,90,0,1
521,00:43:25,79.0,55.25,585,60,90,0,1
522,00:43:30,78.8,55.25,585,60,90,0,1
523,00:43:35,78.8,55.25,585,60,90,0,1
524,00:43:40,78.8,55.5,585,60,90,0,1
525,00:43:45,79.0,55.75,585,60,90,0,1
526,00:43:50,79.0,55.5,585,60,90,0,1
527,00:43:55,79.0,55.25,585,60,90,0,1
528,00:44:00,79.2,55.25,585,60,90,0,1
